Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Aceh,Aceh Barat,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,8,UBIJALAR,Ton,485.58,370.05,684.13,685.88,0.0,0.0
Aceh,Aceh Barat,9,UBIKAYU / KETELA POHON,Ton,920.28,1395.71,1324.25,1055.72,0.0,0.0
Aceh,Aceh Besar,1,JAGUNG,Ton,9211.57,5699.05,5910.72,0.0,0.0,0.0
Aceh,Aceh Besar,2,KACANG HIJAU,Ton,35.5,9.5,159.17,0.0,0.0,0.0
Aceh,Aceh Besar,3,KACANG TANAH,Ton,149.01,211.02,159.17,154.09,0.0,0.0
Aceh,Aceh Besar,4,KEDELAI,Ton,79.94,23.21,284.05,1024.12,0.0,0.0
Aceh,Aceh Besar,5,PADI,Ton,179856.23,201408.49,200097.22,152831.03,0.0,0.0
Aceh,Aceh Besar,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Besar,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Besar,8,UBIJALAR,Ton,1065.4,1651.01,4339.39,2722.08,0.0,0.0
Aceh,Aceh Besar,9,UBIKAYU / KETELA POHON,Ton,5408.97,7406.03,11527.54,12741.46,0.0,0.0
Pidie,Pidie,1,JAGUNG,Ton,593.02,529.11,907.16,0.0,0.0,0.0
Pidie,Pidie,2,KACANG HIJAU,Ton,256.1,83.8,716.24,0.0,0.0,0.0
Pidie,Pidie,3,KACANG TANAH,Ton,1565.67,1439.75,716.24,815.26,0.0,0.0
Pidie,Pidie,4,KEDELAI,Ton,63.58,89.22,139.04,1603.8,0.0,0.0
Pidie,Pidie,5,PADI,Ton,246564.18,203344.76,188438.42,225934.01,0.0,0.0
Pidie,Pidie,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie,8,UBIJALAR,Ton,91.04,64.31,0.0,0.0,0.0,0.0
Pidie,Pidie,9,UBIKAYU / KETELA POHON,Ton,231.75,335.01,233.1,254.83,0.0,0.0
Bireuen,Bireuen,1,JAGUNG,Ton,100694.72,21947.49,35170.04,0.0,0.0,0.0
Bireuen,Bireuen,2,KACANG HIJAU,Ton,7.2,17.1,81.84,0.0,0.0,0.0
Bireuen,Bireuen,3,KACANG TANAH,Ton,88.56,81.39,81.84,57.91,0.0,0.0
Bireuen,Bireuen,4,KEDELAI,Ton,21.61,470.22,48.2,489.21,0.0,0.0
Bireuen,Bireuen,5,PADI,Ton,184943.58,150400.84,137057.19,133428.17,0.0,0.0
Bireuen,Bireuen,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Bireuen,Bireuen,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Bireuen,Bireuen,8,UBIJALAR,Ton,303.87,426.71,278.3,364.37,0.0,0.0
Bireuen,Bireuen,9,UBIKAYU / KETELA POHON,Ton,5199.53,4396.33,4831.01,4441.31,0.0,0.0
Aceh,Aceh Utara,1,JAGUNG,Ton,12157.38,12718.0,12661.12,0.0,0.0,0.0
