Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Aceh,Aceh Barat,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,8,UBIJALAR,Ha,37.0,18.0,34.0,32.0,0.0,0.0
Aceh,Aceh Barat,9,UBIKAYU / KETELA POHON,Ha,37.0,18.0,34.0,29.0,0.0,0.0
Aceh,Aceh Besar,1,JAGUNG,Ha,1655.1,1001.0,1024.0,0.0,0.0,0.0
Aceh,Aceh Besar,2,KACANG HIJAU,Ha,14.8,12.8,100.7,81.4,0.0,0.0
Aceh,Aceh Besar,3,KACANG TANAH,Ha,98.2,150.8,100.7,116.72,0.0,0.0
Aceh,Aceh Besar,4,KEDELAI,Ha,53.0,15.0,187.0,657.6,0.0,0.0
Aceh,Aceh Besar,5,PADI,Ha,32821.25,35118.23,35497.59,29496.99,34411.09,0.0
Aceh,Aceh Besar,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Besar,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Besar,8,UBIJALAR,Ha,81.0,75.0,245.0,127.0,0.0,0.0
Aceh,Aceh Besar,9,UBIKAYU / KETELA POHON,Ha,81.0,75.0,245.0,350.0,0.0,0.0
Pidie,Pidie,1,JAGUNG,Ha,98.5,93.5,160.4,0.0,0.0,0.0
Pidie,Pidie,2,KACANG HIJAU,Ha,195.4,67.7,447.5,101.92,0.0,0.0
Pidie,Pidie,3,KACANG TANAH,Ha,1046.1,1114.6,447.5,574.2,0.0,0.0
Pidie,Pidie,4,KEDELAI,Ha,43.5,56.0,81.9,902.71,0.0,0.0
Pidie,Pidie,5,PADI,Ha,38887.61,35947.06,31167.2,35041.24,38255.8,0.0
Pidie,Pidie,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie,8,UBIJALAR,Ha,6.0,3.0,0.0,0.0,0.0,0.0
Pidie,Pidie,9,UBIKAYU / KETELA POHON,Ha,6.0,3.0,0.0,7.0,0.0,0.0
Bireuen,Bireuen,1,JAGUNG,Ha,16345.4,6578.0,6582.0,0.0,0.0,0.0
Bireuen,Bireuen,2,KACANG HIJAU,Ha,5.8,11.0,53.0,10.76,0.0,0.0
Bireuen,Bireuen,3,KACANG TANAH,Ha,58.0,62.0,53.0,41.96,0.0,0.0
Bireuen,Bireuen,4,KEDELAI,Ha,15.0,275.0,32.0,276.55,0.0,0.0
Bireuen,Bireuen,5,PADI,Ha,28017.62,24525.54,22512.74,22234.26,26385.77,0.0
Bireuen,Bireuen,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bireuen,Bireuen,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bireuen,Bireuen,8,UBIJALAR,Ha,24.0,27.0,17.0,17.0,0.0,0.0
Bireuen,Bireuen,9,UBIKAYU / KETELA POHON,Ha,24.0,27.0,17.0,122.0,0.0,0.0
Aceh,Aceh Utara,1,JAGUNG,Ha,2051.0,2602.0,2377.0,0.0,0.0,0.0
Aceh,Aceh Utara,2,KACANG HIJAU,Ha,39.0,36.1,88.0,56.0,0.0,0.0
Aceh,Aceh Utara,3,KACANG TANAH,Ha,70.0,78.0,88.0,107.0,0.0,0.0
Aceh,Aceh Utara,4,KEDELAI,Ha,341.0,84.0,306.0,4202.87,0.0,0.0
Aceh,Aceh Utara,5,PADI,Ha,72332.73,62454.55,54188.72,44037.18,61388.38,0.0
Aceh,Aceh Utara,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Utara,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Utara,8,UBIJALAR,Ha,17.0,19.0,29.0,43.0,0.0,0.0
Aceh,Aceh Utara,9,UBIKAYU / KETELA POHON,Ha,17.0,19.0,29.0,176.0,0.0,0.0
Aceh,Aceh Barat Daya,1,JAGUNG,Ha,1826.0,1381.0,386.1,0.0,0.0,0.0
Aceh,Aceh Barat Daya,2,KACANG HIJAU,Ha,3.0,11.0,47.7,0.0,0.0,0.0
Aceh,Aceh Barat Daya,3,KACANG TANAH,Ha,102.9,40.8,47.7,0.0,0.0,0.0
Aceh,Aceh Barat Daya,4,KEDELAI,Ha,15.0,17.0,10.0,0.0,0.0,0.0
Aceh,Aceh Barat Daya,5,PADI,Ha,12054.78,13373.22,11814.76,9821.66,11834.21,0.0
Aceh,Aceh Barat Daya,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat Daya,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat Daya,8,UBIJALAR,Ha,26.0,13.0,16.0,0.0,0.0,0.0
Aceh,Aceh Barat Daya,9,UBIKAYU / KETELA POHON,Ha,26.0,13.0,16.0,0.0,0.0,0.0
Gayo,Gayo Lues,1,JAGUNG,Ha,1481.1,1649.9,2660.3,0.0,0.0,0.0
Gayo,Gayo Lues,2,KACANG HIJAU,Ha,0.0,0.5,10.5,1.5,0.0,0.0
Gayo,Gayo Lues,3,KACANG TANAH,Ha,4.9,6.0,10.5,2.0,0.0,0.0
Gayo,Gayo Lues,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,5,PADI,Ha,6563.66,4079.41,4924.05,4853.1,4461.97,0.0
Gayo,Gayo Lues,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,8,UBIJALAR,Ha,0.5,9.8,11.0,4.0,0.0,0.0
Gayo,Gayo Lues,9,UBIKAYU / KETELA POHON,Ha,0.5,9.8,11.0,2.75,0.0,0.0
Aceh,Aceh Tamiang,1,JAGUNG,Ha,1762.0,1358.9,381.0,0.0,0.0,0.0
Aceh,Aceh Tamiang,2,KACANG HIJAU,Ha,13.0,18.9,10.0,23.0,0.0,0.0
Aceh,Aceh Tamiang,3,KACANG TANAH,Ha,11.0,18.0,10.0,12.0,0.0,0.0
Aceh,Aceh Tamiang,4,KEDELAI,Ha,0.0,0.0,0.0,271.41,0.0,0.0
Aceh,Aceh Tamiang,5,PADI,Ha,14985.19,14186.99,16139.14,14641.18,14990.98,0.0
Aceh,Aceh Tamiang,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tamiang,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tamiang,8,UBIJALAR,Ha,3.0,7.0,2.0,4.0,0.0,0.0
Aceh,Aceh Tamiang,9,UBIKAYU / KETELA POHON,Ha,3.0,7.0,2.0,4.0,0.0,0.0
Nagan,Nagan Raya,1,JAGUNG,Ha,2722.0,2120.0,2986.0,0.0,0.0,0.0
Nagan,Nagan Raya,2,KACANG HIJAU,Ha,3.0,2.0,49.3,0.0,0.0,0.0
Nagan,Nagan Raya,3,KACANG TANAH,Ha,74.0,35.0,49.3,57.0,0.0,0.0
Nagan,Nagan Raya,4,KEDELAI,Ha,1.0,1.0,0.0,114.93,0.0,0.0
Nagan,Nagan Raya,5,PADI,Ha,8895.23,8911.18,6501.18,9029.91,9234.82,0.0
Nagan,Nagan Raya,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nagan,Nagan Raya,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nagan,Nagan Raya,8,UBIJALAR,Ha,1.7,1.9,3.3,0.0,0.0,0.0
Nagan,Nagan Raya,9,UBIKAYU / KETELA POHON,Ha,1.7,1.9,3.3,0.0,0.0,0.0
Aceh,Aceh Jaya,1,JAGUNG,Ha,564.7,498.0,204.0,0.0,0.0,0.0
Aceh,Aceh Jaya,2,KACANG HIJAU,Ha,45.0,22.0,51.0,5.0,0.0,0.0
Aceh,Aceh Jaya,3,KACANG TANAH,Ha,139.6,72.0,51.0,57.0,0.0,0.0
Aceh,Aceh Jaya,4,KEDELAI,Ha,22.0,21.0,11.0,108.9,0.0,0.0
Aceh,Aceh Jaya,5,PADI,Ha,9401.68,9990.28,9853.9,8753.48,9772.05,0.0
Aceh,Aceh Jaya,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Jaya,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Jaya,8,UBIJALAR,Ha,54.0,32.0,16.0,15.0,0.0,0.0
Aceh,Aceh Jaya,9,UBIKAYU / KETELA POHON,Ha,54.0,32.0,16.0,26.0,0.0,0.0
Bener,Bener Meriah,1,JAGUNG,Ha,106.0,377.0,221.4,0.0,0.0,0.0
Bener,Bener Meriah,2,KACANG HIJAU,Ha,0.0,0.0,9.9,0.0,0.0,0.0
Bener,Bener Meriah,3,KACANG TANAH,Ha,4.0,10.0,9.9,4.38,0.0,0.0
Bener,Bener Meriah,4,KEDELAI,Ha,1.0,4.0,0.0,44.34,0.0,0.0
Bener,Bener Meriah,5,PADI,Ha,394.91,373.5,317.77,311.74,287.83,0.0
Bener,Bener Meriah,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bener,Bener Meriah,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bener,Bener Meriah,8,UBIJALAR,Ha,72.1,40.5,26.0,32.0,0.0,0.0
Bener,Bener Meriah,9,UBIKAYU / KETELA POHON,Ha,72.1,40.5,0.0,0.0,0.0,0.0
