Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Aceh,Aceh Barat,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,15.91,0.0,0.0,0.0
Aceh,Aceh Barat,3,KACANG TANAH,Kuintal/Ha,12.97,14.14,15.91,0.0,0.0,0.0
Aceh,Aceh Barat,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,5,PADI,Kuintal/Ha,45.54,51.39,49.7,0.0,0.0,0.0
Aceh,Aceh Barat,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat,8,UBIJALAR,Kuintal/Ha,131.24,205.58,201.21,0.0,0.0,0.0
Aceh,Aceh Barat,9,UBIKAYU / KETELA POHON,Kuintal/Ha,131.24,205.58,201.21,0.0,0.0,0.0
Aceh,Aceh Besar,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Besar,2,KACANG HIJAU,Kuintal/Ha,23.99,7.42,15.81,0.0,0.0,0.0
Aceh,Aceh Besar,3,KACANG TANAH,Kuintal/Ha,15.17,13.99,15.81,0.0,0.0,0.0
Aceh,Aceh Besar,4,KEDELAI,Kuintal/Ha,15.08,15.47,15.19,0.0,0.0,0.0
Aceh,Aceh Besar,5,PADI,Kuintal/Ha,54.8,57.35,56.37,0.0,0.0,0.0
Aceh,Aceh Besar,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Besar,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Besar,8,UBIJALAR,Kuintal/Ha,131.53,220.13,177.12,0.0,0.0,0.0
Aceh,Aceh Besar,9,UBIKAYU / KETELA POHON,Kuintal/Ha,131.53,220.13,177.12,0.0,0.0,0.0
Pidie,Pidie,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
